Filament,Infill Percentage,Layer Height,Sample No.,Leak Rate,A,B,C
PC+ABS+AcetoneBath,50,0.2mm,0,0.0019207168982009136,68.88819101070384,236.27349233535517,329.3151074212913
PC+ABS+AcetoneBath,50,0.2mm,1,9.290927879737527e-05,57.01718466777344,196.18533151300235,37.173046945519644
PC+ABS+AcetoneBath,50,0.2mm,2,0.00027176461975187625,17.103338049652304,243.01692974881203,65.7598452928181
PC+ABS+AcetoneBath,50,0.2mm,3,0.00025676731673322285,76.6788191488837,282.3249278963239,63.36279707016179
PC+ABS+AcetoneBath,75,0.2mm,0,6.642080639473338e-05,58.0849157957537,223.26969501955796,32.93934268451615
PC+ABS+AcetoneBath,75,0.2mm,1,0.0005945743104526433,71.22643950867196,260.67073265129005,117.35514842085912
PC+ABS+AcetoneBath,75,0.2mm,2,0.00013995885950260885,69.00062772895203,299.67236147405765,44.69307329065188
PC+ABS+AcetoneBath,90,0.2mm,0,0.00010105963361938946,53.69287715254479,234.41447471292742,38.47573406971976
PC+ABS+AcetoneBath,90,0.2mm,1,0.013297461808763133,192.12724046566058,269.57143987018105,2147.6824587749757
PC+ABS+AcetoneBath,90,0.2mm,2,0.0002821768413077939,57.29734095335639,248.18573409251175,67.42405099323457
PAHT+CF+HeatTreat,50,0.2mm,0,4.540564262700714e-05,48.85324892294701,203.22155494016593,29.58044802888342
PAHT+CF+HeatTreat,50,0.2mm,1,0.0007762063018086507,37.18721051646205,224.01088667401882,146.385744223046
PAHT+CF+HeatTreat,50,0.2mm,2,9.576850284856e-05,34.93941811030309,192.6997307733568,37.63004230805543
PAHT+CF+HeatTreat,75,0.2mm,0,7.929023790474208e-05,37.78748396541676,166.31941514402777,34.99628904942552
PAHT+CF+HeatTreat,75,0.2mm,1,0.0005458664630309003,64.31281566702133,229.2472892774748,109.57007806877743
PAHT+CF+HeatTreat,75,0.2mm,2,0.004165584709872753,49.265894747449174,455.3330376316325,688.1167127081536
PAHT+CF+HeatTreat,90,0.2mm,0,3.4947273622841435e-05,27.980883274651863,239.10970148946728,27.908866491713795
PAHT+CF+HeatTreat,90,0.2mm,1,7.771271154414582e-05,28.140843960330038,219.7657704099678,34.74414993120156
PAHT+CF+HeatTreat,90,0.2mm,2,0.000890208265442822,19.004697652155652,211.11384751226163,164.60690065155407
PC+MCBath,50,0.2mm,0,0.00010297318844829185,37.19728633252801,224.56890706511186,38.781581274105164
PC+MCBath,50,0.2mm,1,8.349061886683645e-05,39.48556869981989,222.09864078963824,35.667644139547036
PC+MCBath,50,0.2mm,2,0.00010253600302076705,48.736637261120045,229.14363483526557,38.71170507364992
PC+MCBath,75,0.2mm,0,6.832993896221208e-05,38.34367905217274,219.61616289636248,33.24448307022404
PC+MCBath,75,0.2mm,1,7.162387793257289e-05,45.161230092445685,209.577608162825,33.77095976704221
PC+MCBath,75,0.2mm,2,4.875423962870721e-05,38.129187766444794,196.66328335399797,30.115660825566522
PC+MCBath,90,0.2mm,0,5.344831120237459e-05,42.483555255859905,196.71374672181017,30.865923450032128
PC+MCBath,90,0.2mm,1,4.713587837586549e-05,38.645888117435796,180.54518145542585,29.856994986787704
PC+MCBath,90,0.2mm,2,4.2397404643785466e-05,36.99554005115603,179.07974617610736,29.099635478650892
